Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response,totalSeasons,ratingSite,tomatoMeter
The Last Waltz,1978,PG,1978-04-26,117 min,"Documentary, Music",Martin Scorsese,Mardik Martin (treatment),"The Band, Rick Danko, Levon Helm, Garth Hudson",A film account and presentation of the final concert of The Band.,"English, Middle English",USA,2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BODk2N2RkMGEtMGJjZS00OTk0LTk5NjgtNTg4ZjdiNDI2ZjE1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,88,8.2,14277,tt0077838,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the_last_waltz_2002/,2002-05-07,N/A,MGM,N/A,True,NA,Rotten Tomatoes,98%
The Exploding Girl,2009,Unrated,2010-05-06,79 min,Drama,Bradley Rust Gray,Bradley Rust Gray,"Zoe Kazan, Mark Rendall, Maryann Urbano, Hunter Canning","On a summer break from college, a young epileptic woman struggles to balance her feelings for her fledgling boyfriend while her friend Al crashes with her for the season.",English,USA,2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTAxODY3OTQ3MDdeQTJeQWpwZ15BbWU3MDA4NzgyOTI@._V1_SX300.jpg,69,6.3,1709,tt1294161,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/exploding_girl/,2010-07-01,N/A,Ocscilloscope Pictures,N/A,True,NA,Rotten Tomatoes,75%
Mutual Appreciation,2005,R,2007-05-04,109 min,Comedy,Andrew Bujalski,Andrew Bujalski,"Justin Rice, Rachel Clift, Andrew Bujalski, Seung-Min Lee","Alan is a musician who leaves a busted-up band for New York, and a new musical voyage. He tries to stay focused and fends off all manner of distractions, including the attraction to his good friend's girlfriend.",English,USA,2 wins & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTMwNTIzN15BMl5BanBnXkFtZTcwNzA0NzYzMQ@@._V1_SX300.jpg,84,6.9,1582,tt0446747,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/mutual_appreciation/,2007-02-13,N/A,Goodbye Cruel World,http://www.mutualappreciation.com,True,NA,Rotten Tomatoes,85%
Down Terrace,2009,R,2010-10-15,89 min,"Crime, Drama",Ben Wheatley,"Ben Wheatley, Robin Hill","Robin Hill, Robert Hill, Julia Deakin, David Schaal",A crime family looks to unmask the police informant in their midst who threatens to take down their business.,English,UK,3 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTc0NTczMTc1Nl5BMl5BanBnXkFtZTcwOTYwMTE5Mw@@._V1_SX300.jpg,68,6.5,3115,tt1489167,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/down-terrace/,2011-01-18,"$9,609",Magnolia Pictures,http://www.downterrace.com/,True,NA,Rotten Tomatoes,86%
Clerks,1994,R,1994-11-09,92 min,Comedy,Kevin Smith,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer","A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",English,USA,5 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BNzE1Njk0NmItNDhlMC00ZmFlLWI4ZTUtYTY4ZjgzNjkyMTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,70,7.8,199387,tt0109445,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/clerks/,1999-06-29,N/A,Miramax Films,N/A,True,NA,Rotten Tomatoes,88%
Funny Ha Ha,2002,N/A,2007-04-19,89 min,"Comedy, Drama, Romance",Andrew Bujalski,Andrew Bujalski,"Kate Dollenmayer, Mark Herlehy, Christian Rudder, Jennifer L. Schaper","Marnie just graduated from college, drinks likes she's still in school, and is looking for a temporary job but a permanent boyfriend. She loves a guy who doesn't love her (?), ping-pongs ...",English,USA,2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjE1OTU5MjI1NF5BMl5BanBnXkFtZTcwNjkwMzgyMQ@@._V1_SX300.jpg,78,6.4,2149,tt0327753,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/funny-ha-ha/,2005-08-16,N/A,Goodbye Cruel Releasing,http://funnyhahafilm.com/,True,NA,Rotten Tomatoes,87%
In the Company of Men,1997,R,1997-08-01,97 min,"Comedy, Drama",Neil LaBute,"Neil LaBute (play), Neil LaBute (screenplay)","Aaron Eckhart, Stacy Edwards, Matt Malloy, Michael Martin","Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.","English, American Sign Language","Canada, USA",14 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BYmFiZTI1MDUtNGYyMi00ZTRkLWE1Y2UtZWY0ZDZiZTBiMjRmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,81,7.2,12404,tt0119361,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/in_the_company_of_men/,1998-03-17,N/A,Sony Pictures Classics,N/A,True,NA,Rotten Tomatoes,89%
Sabotage,2014,R,2014-03-28,109 min,"Action, Crime, Drama, Thriller",David Ayer,"Skip Woods, David Ayer","Arnold Schwarzenegger, Sam Worthington, Joe Manganiello, Josh Holloway",Members of an elite DEA task force find themselves being taken down one by one after they rob a drug cartel safe house.,"English, Spanish",USA,2 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTUxNjI4MjEyN15BMl5BanBnXkFtZTgwMDUxMDM4MDE@._V1_SX300.jpg,41,5.7,54966,tt1742334,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/sabotage_2012/,2014-07-22,"$8,125,131",Open Road Films,http://www.facebook.com/SabotageMovie,True,NA,Rotten Tomatoes,20%
Manito,2002,N/A,2002-01-15,78 min,"Drama, Family",Eric Eason,Eric Eason,"Franky G, Leo Minaya, Manuel Cabral, Jessica Morales","Fifteen years ago, their Washington Heights neighborhood was dubbed the crack-cocaine capital of the world, but today it is transforming into one of the most vibrant, Spanish-speaking ...",English,USA,8 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTc0MTAwNzUwOV5BMl5BanBnXkFtZTcwNDU0NjgyMQ@@._V1_SX300.jpg,71,6.8,524,tt0298050,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/manito/,2005-01-01,N/A,Film Movement,http://www.filmmovement.com/FilmDetail.aspx?ProductID=0603,True,NA,Rotten Tomatoes,94%
Slacker,1990,R,1991-07-05,97 min,"Comedy, Drama",Richard Linklater,Richard Linklater,"Richard Linklater, Rudy Basquez, Jean Caffeine, Jan Hockey","A day in the life of Austin, Texas as the camera roams from place to place and provides a brief look at the overeducated, the social misfits, the outcasts and the oddballs.",English,USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BZjc4ZTBiOTYtYjYwYi00ZWQwLWJlOTQtZTI0OTFiMzNmYzVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,69,7.1,17758,tt0102943,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/slacker/,2004-09-14,N/A,The Criterion Collection,N/A,True,NA,Rotten Tomatoes,86%
