Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response,totalSeasons,ratingSite,tomatoMeter
Brother,2000,R,2001-01-27,114 min,"Crime, Drama, Thriller",Takeshi Kitano,Takeshi Kitano,"Takeshi Kitano, Omar Epps, Claude Maki, Masaya Katô","A Japanese gangster is exiled to Los Angeles where his brother lives with a small but respectable multi-racial gang, who he inspires to expand their influence.","English, Japanese, Italian, Spanish","USA, UK, Japan",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTMwNDcwNDg3M15BMl5BanBnXkFtZTcwMDY3NzQyMQ@@._V1_SX300.jpg,47,7.2,20380,tt0222851,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1107809-brother/,2002-01-02,N/A,Sony Pictures Classics,http://www.spe.sony.com/classics/brothermovie/index.html,True,NA,Rotten Tomatoes,47%
Welcome to Collinwood,2002,R,2002-10-18,86 min,"Comedy, Crime","Anthony Russo, Joe Russo","Anthony Russo (screenplay), Joe Russo (screenplay)","William H. Macy, Isaiah Washington, Sam Rockwell, Michael Jeter","When petty thief Cosimo is given the plan for the perfect heist from a lifer in prison - the kind of job you dream about - he has to get out of jail, fast. But with Cosimo stuck in the ...",English,"USA, Germany",1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc0NTI1MjMwMl5BMl5BanBnXkFtZTYwNTE2NzY3._V1_SX300.jpg,61,6.4,13412,tt0271259,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/welcome_to_collinwood/,2003-03-18,"$75,180",Warner Bros.,http://welcometocollinwood.warnerbros.com,True,NA,Rotten Tomatoes,55%
Critical Care,1997,R,1997-10-31,107 min,"Comedy, Drama",Sidney Lumet,"Richard Dooling (novel), Steven Schwartz (screenplay)","James Spader, Kyra Sedgwick, Helen Mirren, Anne Bancroft",Werner Ernst is a young hospital resident who becomes embroiled in a legal battle between two half-sisters who are fighting over the care of their comatose father. But are they really ...,English,"Australia, USA",1 nomination.,https://m.media-amazon.com/images/M/MV5BMjk5MzNhNGUtZjRmNS00Y2YyLThiZjYtODYzZDAyMDkxNWYzXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,N/A,6,1615,tt0118901,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/critical_care/,2000-03-15,N/A,Live Home Video,N/A,True,NA,Rotten Tomatoes,59%
The Life Before Her Eyes,2007,R,2008-09-05,90 min,"Drama, Fantasy, Mystery, Thriller",Vadim Perelman,"Laura Kasischke (novel), Emil Stern (screenplay)","Uma Thurman, Evan Rachel Wood, Eva Amurri Martino, Gabrielle Brennan",A woman's survivor's guilt from a Columbine-like event twenty years ago causes her present-day idyllic life to fall apart.,English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BMTM1MzAxNzgyM15BMl5BanBnXkFtZTcwNjAyOTM2MQ@@._V1_SX300.jpg,38,6.4,12997,tt0815178,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/life_before_her_eyes/,2008-08-19,"$166,373",Magnolia Pictures,http://www.lifebeforehereyes.com/,True,NA,Rotten Tomatoes,23%
Darling Companion,2012,PG-13,2012-05-24,103 min,"Comedy, Drama, Romance",Lawrence Kasdan,"Meg Kasdan, Lawrence Kasdan","Diane Keaton, Kevin Kline, Dianne Wiest, Richard Jenkins",The story of a woman who loves her dog more than her husband. And then her husband loses the dog.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA5NTQ3MDExMl5BMl5BanBnXkFtZTcwNjU1MTc2Nw@@._V1_SX300.jpg,41,5.1,3030,tt1730687,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/darling_companion/,2012-08-28,"$793,352",Sony Pictures Classics,http://www.darlingcompanion.com,True,NA,Rotten Tomatoes,22%
Trade,2007,R,2007-10-18,120 min,"Crime, Drama, Thriller",Marco Kreuzpaintner,"Jose Rivera (screenplay), Peter Landesman (story), Jose Rivera (story), Peter Landesman (article)","Kevin Kline, Cesar Ramos, Alicja Bachleda, Paulina Gaitan","Adriana is a 13-year-old girl from Mexico City whose kidnapping by sex traffickers sets in motion a desperate mission by her 17-year-old brother, Jorge, to save her. Trapped and terrified ...","English, Spanish, Polish, Russian","Germany, USA, Mexico",5 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYjUzMmUzZmMtZDRmNy00NGJkLWJmZTgtZDEwZmZkMGMxMjU2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,42,7.4,16007,tt0399095,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1164582-trade/,2008-01-29,"$118,086",Roadside Attractions,http://www.lionsgate.com/trade,True,NA,Rotten Tomatoes,31%
Fateless,2005,R,2005-02-10,140 min,"Drama, Romance, War",Lajos Koltai,"Imre Kertész (novel), Imre Kertész (screenplay)","Marcell Nagy, Béla Dóra, Bálint Péntek, Áron Dimény","Fourteen-year-old György's life is torn apart in World War II Hungary, as he is sent to a concentration camp, where he is forced to become a man, and learns to find happiness in the midst of hatred, and what it really means to be Jewish.","Hungarian, German, English, Yiddish, Hebrew, Polish","Hungary, Germany, UK, Israel, France, USA",5 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMTA3MTg1MDk4NTleQTJeQWpwZ15BbWU3MDQ1NTg1MzE@._V1_SX300.jpg,87,7,6166,tt0367082,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1153570-fateless/,2006-05-09,N/A,ThinkFilm,http://www.fateless.co.uk/,True,NA,Rotten Tomatoes,94%
Breakfast of Champions,1999,R,1999-02-18,110 min,Comedy,Alan Rudolph,"Kurt Vonnegut Jr. (book), Alan Rudolph (screenplay)","Bruce Willis, Albert Finney, Nick Nolte, Barbara Hershey",A portrait of a fictional town in the midwest that is home to a group of idiosyncratic and slightly neurotic characters. Dwayne Hoover is a wealthy car dealership owner that's on the brink ...,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTU4MDU4NTkwOF5BMl5BanBnXkFtZTcwNjAzNTUyMQ@@._V1_SX300.jpg,42,4.6,7297,tt0120618,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/breakfast_of_champions/,2000-06-30,N/A,Buena Vista Pictures,N/A,True,NA,Rotten Tomatoes,26%
"A Woman, a Gun and a Noodle Shop",2009,R,2009-12-11,95 min,"Comedy, Drama",Yimou Zhang,"Zhengchao Xu (screenplay), Jianquan Shi (screenplay), Xiaofeng Zhou (story consultant), Ethan Coen (based on his screenplay for ""Blood Simple""), Joel Coen (based on his screenplay for ""Blood Simple"")","Honglei Sun, Shenyang Xiao, Yan Ni, Dahong Ni",The owner of a Chinese noodle shop's scheme to murder his adulterous wife and her lover goes awry.,"Mandarin, English","China, Hong Kong",2 nominations.,https://m.media-amazon.com/images/M/MV5BMTA2ODA3OTA3MzZeQTJeQWpwZ15BbWU3MDc4NzQyNzM@._V1_SX300.jpg,57,5.6,2741,tt1428556,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/770857882/,2011-02-01,"$190,666",Sony Pictures Classics,http://www.sonyclassics.com/awomanagunandanoodleshop/,True,NA,Rotten Tomatoes,33%
Cypher,2002,R,2003-01-18,95 min,"Mystery, Sci-Fi, Thriller",Vincenzo Natali,Brian King,"Jeremy Northam, Lucy Liu, Nigel Bennett, Timothy Webber","An unsuspecting, disenchanted man finds himself working as a spy in the dangerous, high-stakes world of corporate espionage. Quickly getting way over-his-head, he teams up with a mysterious femme fatale.",English,USA,5 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMzdiZGMzNmEtYWYzYi00ZjA5LWI0NzYtMzAzYmZjNWZmNDhkL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,N/A,6.8,28850,tt0284978,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/cypher/,2005-08-02,N/A,Miramax,http://www.iconmovies.com.au/cypher,True,NA,Rotten Tomatoes,58%
City of Life and Death,2009,R,2009-04-22,133 min,"Drama, History, War",Chuan Lu,Chuan Lu,"Ye Liu, Yuanyuan Gao, Wei Fan, Lan Qin","In 1937, Japan occupied Nanjing, the Chinese capital. There was a battle and subsequent atrocities against the inhabitants, especially those who took refuge in the International Security Zone.","Mandarin, English, Japanese, German","China, Hong Kong",10 wins & 10 nominations.,https://ia.media-imdb.com/images/M/MV5BMjA4Mzg0MTM5OF5BMl5BanBnXkFtZTcwMjA0NDY5NQ@@._V1_SX300.jpg,85,7.7,9135,tt1124052,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/city_of_life_and_death/,2011-10-25,"$68,767",Cinema Ventures,http://www.cityoflifeanddeath.co.uk/,True,NA,Rotten Tomatoes,92%
Home,2015,PG,2015-03-27,94 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",Tim Johnson,"Tom J. Astle (screenplay by), Matt Ember (screenplay by), Adam Rex (book)","Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez","An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.","English, French",USA,2 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMjExOTQ4MDMyMV5BMl5BanBnXkFtZTgwMTE3NDM2MzE@._V1_SX300.jpg,55,6.6,84407,tt2224026,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/home_2015/,2015-07-28,"$157,801,252",DreamWorks Animation,http://www.meettheboov.com/,True,NA,Rotten Tomatoes,50%
