Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response,totalSeasons,ratingSite,tomatoMeter
Gods and Monsters,1998,R,1998-11-04,105 min,"Biography, Drama",Bill Condon,"Christopher Bram (novel), Bill Condon (screenplay)","Ian McKellen, Brendan Fraser, Lynn Redgrave, Lolita Davidovich",The last days of Frankenstein (1931) Director James Whale are explored.,"English, Hungarian","USA, UK",Won 1 Oscar. Another 36 wins & 33 nominations.,https://m.media-amazon.com/images/M/MV5BZDczYmY3Y2UtZGQxZi00Zjg1LTk3N2QtMjk4ZGVmYWYwMWQxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,74,7.5,27144,tt0120684,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/gods_and_monsters/,1999-06-08,N/A,Lions Gate Films,N/A,True,NA,Rotten Tomatoes,95%
The Secret in Their Eyes,2009,R,2010-05-21,129 min,"Drama, Mystery, Romance, Thriller",Juan José Campanella,"Eduardo Sacheri (screenplay), Juan José Campanella (screenplay), Eduardo Sacheri (novel)","Soledad Villamil, Ricardo Darín, Carla Quevedo, Pablo Rago",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Spanish,"Argentina, Spain",Won 1 Oscar. Another 51 wins & 40 nominations.,https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_SX300.jpg,80,8.2,169953,tt1305806,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/secret_in_their_eyes/,2010-09-21,"$6,390,014",Sony Pictures Classics,http://www.sonyclassics.com/thesecretintheireyes/,True,NA,Rotten Tomatoes,91%
Day of the Dead,1985,Not Rated,1985-07-19,96 min,"Horror, Thriller",George A. Romero,George A. Romero,"Lori Cardille, Terry Alexander, Joseph Pilato, Jarlath Conroy",A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.,English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BNWVmMzlhZGYtMWRiOS00MGIwLTk5YTAtZGE4OTcyYjU3YzZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,60,7.2,56967,tt0088993,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1005360-day_of_the_dead/,1998-11-10,N/A,United Film Distribution Compa,https://www.shoutfactory.com/,True,NA,Rotten Tomatoes,83%
Evil Dead II,1987,R,1987-03-13,84 min,"Comedy, Horror",Sam Raimi,"Sam Raimi, Scott Spiegel","Bruce Campbell, Sarah Berry, Dan Hicks, Kassie Wesley DePaiva",The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,"English, Latin",USA,5 nominations.,https://m.media-amazon.com/images/M/MV5BMWY3ODZlOGMtNzJmOS00ZTNjLWI3ZWEtZTJhZTk5NDZjYWRjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,69,7.8,133091,tt0092991,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/evil_dead_2_dead_by_dawn/,1998-08-04,N/A,Rosebud Communications Releasing,N/A,True,NA,Rotten Tomatoes,98%
Pootie Tang,2001,PG-13,2001-06-29,81 min,"Action, Adventure, Comedy, Musical",Louis C.K.,Louis C.K.,"Lance Crouther, J.B. Smoove, Jennifer Coolidge, Reg E. Cathey","""The Man"" is baffled by a chill black's invincible weapon: gibberish.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMWY2ZGU3ZDAtN2NhMy00NjRjLWE5ZDgtZTRlM2QxMTBjZWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,31,5.2,12742,tt0258038,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/pootie_tang/,2001-11-27,"$2,839,456",Paramount Pictures,http://www.pootietang.com,True,NA,Rotten Tomatoes,29%
Sharknado,2013,TV-14,2013-07-11,86 min,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, John Heard, Cassandra Scerbo","When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace.",English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BODcwZWFiNTEtNDgzMC00ZmE2LWExMzYtNzZhZDgzNDc5NDkyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,3.3,42739,tt2724064,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/sharknado_2013/,2013-09-03,N/A,NCM Fathom,http://www.mtivideo.com/TitleView.aspx?TITLE_ID=728,True,NA,Rotten Tomatoes,82%
La otra conquista,1998,R,2000-04-21,105 min,"Drama, History",Salvador Carrasco,Salvador Carrasco,"Damián Delgado, José Carlos Rodríguez, Elpidia Carrillo, Iñaki Aierra","It is May 1520 in the vast Aztec Empire one year after the Spanish Conqueror Hernán Cortés' arrival in Mexico. ""The Other Conquest"" opens with the infamous massacre of the Aztecs at the ...","Spanish, Nahuatl",Mexico,2 wins & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMTQwOTczMF5BMl5BanBnXkFtZTcwNjgwMjc0MQ@@._V1_SX300.jpg,N/A,6.9,1056,tt0175996,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the-other-conquest/,2007-10-16,N/A,Union Station Media,http://www.theotherconquest.com/,True,NA,Rotten Tomatoes,85%
Trollhunter,2010,PG-13,2010-10-29,103 min,"Drama, Fantasy, Horror",André Øvredal,André Øvredal,"Otto Jespersen, Glenn Erland Tosterud, Johanna Mørck, Tomas Alf Larsen","A group of students investigates a series of mysterious bear killings, but learns that there are much more dangerous things going on. They start to follow a mysterious hunter, learning that he is actually a troll hunter.","Norwegian, English",Norway,11 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMTkyMTgxNzIwOF5BMl5BanBnXkFtZTcwNjYyNjM5NA@@._V1_SX300.jpg,61,7,62362,tt1740707,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/trollhunter/,2011-08-23,"$252,652",Magnolia Pictures,http://www.trollhunterfilm.com/,True,NA,Rotten Tomatoes,83%
Ira & Abby,2006,R,2008-05-09,104 min,"Comedy, Romance",Robert Cary,Jennifer Westfeldt,"Chris Messina, David Margulies, Spiro Malas, Kali Rocha","A hastily married couple quickly devolve into a life of affairs, meddling parents, and therapy.",English,USA,4 wins & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTc1NDkwNDg4M15BMl5BanBnXkFtZTgwNTg1OTkwMzE@._V1_SX300.jpg,62,6.5,2007,tt0480251,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/ira_and_abby/,2008-01-29,N/A,Magnolia Pictures,http://www.iraandabby.com/,True,NA,Rotten Tomatoes,67%
The Watch,2012,R,2012-07-27,102 min,"Action, Comedy, Horror, Sci-Fi",Akiva Schaffer,"Jared Stern, Seth Rogen, Evan Goldberg","Ben Stiller, Vince Vaughn, Jonah Hill, Richard Ayoade",Four men who form a neighborhood watch group as a way to get out of their day-to-day family routines find themselves defending the Earth from an alien invasion.,English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BMjU5MzI1NTk1MV5BMl5BanBnXkFtZTcwMzk5NzY5Nw@@._V1_SX300.jpg,36,5.7,114796,tt1298649,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the_watch_2012/,2012-11-13,"$34,100,000",20th Century Fox,http://www.facebook.com/thewatchmovie,True,NA,Rotten Tomatoes,17%
Winter Passing,2005,R,2006-06-15,98 min,"Comedy, Drama",Adam Rapp,Adam Rapp,"Zooey Deschanel, Darrell Larson, John Bedford Lloyd, Deirdre O'Connell","Actress Reese Holden has been offered a small fortune by a book editor if she can secure for publication the love letters that her father, a reclusive novelist, wrote to her mother, who has...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQzMzc2Njk1MV5BMl5BanBnXkFtZTcwODI3NDIzMQ@@._V1_SX300.jpg,56,6.4,7748,tt0380817,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/winter_passing/,2006-05-16,N/A,Yari Film Group,http://www.winterpassing-movie.com,True,NA,Rotten Tomatoes,40%
D.E.B.S.,2004,PG-13,2005-03-25,91 min,"Action, Comedy, Romance",Angela Robinson,Angela Robinson,"Sara Foster, Jordana Brewster, Meagan Good, Devon Aoki","Plaid-skirted schoolgirls are groomed by a secret government agency to become the newest members of the elite national-defense group, D.E.B.S.",English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjA0OTU5ODgyOF5BMl5BanBnXkFtZTcwODczNDgyMQ@@._V1_SX300.jpg,42,5.3,13541,tt0367631,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/debs/,2005-06-14,N/A,Destination Films,http://www.sonypictures.com/movies/d.e.b.s.,True,NA,Rotten Tomatoes,38%
The Masked Saint,2016,PG-13,2016-01-22,105 min,"Action, Biography, Crime",Warren P. Sonoda,"Scott Crowell, Scott Crowell, Brett Granstaff","Brett Granstaff, Lara Jean Chorostecki, T.J. McGibbon, Diahann Carroll",A pastor and professional wrestler accepts a position at a struggling church where he helps the community both in his official capacity and as his alter ego The Saint.,English,Canada,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjI0NzU4MjkxNl5BMl5BanBnXkFtZTgwMTYxMTA1NzE@._V1_SX300.jpg,22,4.6,506,tt3103166,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the_masked_saint/,2016-04-05,"$181,609",Freestyle Releasing,http://themaskedsaint.com/about-the-masked-saint/,True,NA,Rotten Tomatoes,14%
Time to Choose,2015,Not Rated,2016-06-03,100 min,Documentary,Charles Ferguson,"Chad Beck, Charles Ferguson","Peter Agnefjall, Tasso Azevedo, Neal Barnard, Jerry Brown",Documentary filmmaker Charles Ferguson turns his lens to address worldwide climate change challenges and solutions.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzQwOTk2OTI1N15BMl5BanBnXkFtZTgwNTIyMjU3ODE@._V1_SX300.jpg,75,7.3,181,tt5001130,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/time_to_choose/,NA,"$29,233",Representational Pictures,http://www.timetochoose.com/,True,NA,Rotten Tomatoes,86%
Dawn Patrol,2014,Not Rated,2015-06-05,88 min,"Drama, Thriller",Daniel Petrie Jr.,"Rachel Long, Brian Pittman","Scott Eastwood, Rita Wilson, Kim Matula, Chris Brochu",A surfer-turned-Marine held at gunpoint in a distant desert tells his tragic story of revenge gone wrong to stall his execution.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjM2MjAyMDc0OV5BMl5BanBnXkFtZTgwMzc5MTQxNTE@._V1_SX300.jpg,24,4.8,610,tt2073661,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/dawn_patrol_2015/,2015-07-14,N/A,Alchemy,https://dawnpatrol.shuttlerock.com/,True,NA,Rotten Tomatoes,0%
High Anxiety,1977,PG,1977-12-25,94 min,Comedy,Mel Brooks,"Mel Brooks, Ron Clark, Rudy De Luca, Barry Levinson","Mel Brooks, Madeline Kahn, Cloris Leachman, Harvey Korman",Mel Brooks' parody of Alfred Hitchcock films.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODM5NjczZWEtOTc4ZS00NTI4LWJiMGEtNzY4YzFlYmNjY2NmXkEyXkFqcGdeQXVyMTI1NDQ4NQ@@._V1_SX300.jpg,55,6.7,17753,tt0076141,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/high_anxiety/,2006-04-04,N/A,Fox,N/A,True,NA,Rotten Tomatoes,75%
March of the Penguins,2005,G,2005-07-22,80 min,"Documentary, Family",Luc Jacquet,"Luc Jacquet (scenario), Luc Jacquet (adaptation), Michel Fessler (adaptation), Jordan Roberts (narration: US edited version)","Charles Berling, Romane Bohringer, Jules Sitruk, Morgan Freeman","In the Antarctic, every March since the beginning of time, the quest begins to find the perfect mate and start a family.","French, English",France,Won 1 Oscar. Another 21 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BMTM1NDc5MDYxMl5BMl5BanBnXkFtZTcwMjMzNDAzMQ@@._V1_SX300.jpg,79,7.6,52661,tt0428803,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/march_of_the_penguins/,2005-11-29,"$77,100,000",Warner Independent Pictures,http://wip.warnerbros.com/marchofthepenguins/,True,NA,Rotten Tomatoes,95%
Margin Call,2011,R,2011-09-29,107 min,"Drama, Thriller",J.C. Chandor,J.C. Chandor,"Kevin Spacey, Paul Bettany, Jeremy Irons, Zachary Quinto","Follows the key people at an investment bank, over a 24-hour period, during the early stages of the 2008 financial crisis.",English,USA,Nominated for 1 Oscar. Another 8 wins & 23 nominations.,https://m.media-amazon.com/images/M/MV5BMjE5NzkyNDI2Nl5BMl5BanBnXkFtZTcwMTYzNDc2Ng@@._V1_SX300.jpg,76,7.1,105497,tt1615147,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/margin_call/,2011-12-20,"$600,000",Roadside Attractions,http://www.margincallmovie.com/,True,NA,Rotten Tomatoes,88%
Choke,2008,R,2008-09-26,92 min,"Comedy, Drama",Clark Gregg,"Clark Gregg (screenplay), Chuck Palahniuk (novel)","Kathryn Alexander, Teodorina Bello, Kate Blumberg, Jonah Bobo",A sex-addicted con-man pays for his mother's hospital bills by playing on the sympathies of those who rescue him from choking to death.,English,USA,2 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTMxMDI4MTE0Ml5BMl5BanBnXkFtZTcwNTg0NDI3MQ@@._V1_SX300.jpg,47,6.5,30272,tt1024715,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/choke/,2009-02-17,"$2,831,900",Fox Searchlight,http://www.foxsearchlight.com/choke,True,NA,Rotten Tomatoes,55%
Whiplash,2014,R,2014-10-15,106 min,"Drama, Music",Damien Chazelle,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,English,USA,Won 3 Oscars. Another 89 wins & 136 nominations.,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,88,8.5,595125,tt2582802,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/whiplash_2014/,2015-02-24,N/A,Sony Pictures Classics,http://sonyclassics.com/whiplash/,True,NA,Rotten Tomatoes,93%
City of God,2002,R,2004-02-13,130 min,"Crime, Drama","Fernando Meirelles, Kátia Lund(co-director)","Paulo Lins (novel), Bráulio Mantovani (screenplay)","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Portuguese,"Brazil, France",Nominated for 4 Oscars. Another 66 wins & 38 nominations.,https://m.media-amazon.com/images/M/MV5BMGU5OWEwZDItNmNkMC00NzZmLTk1YTctNzVhZTJjM2NlZTVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,79,8.6,630664,tt0317248,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/city_of_god/,2004-06-08,N/A,Miramax Films,http://www.miramax.com/movie/city-of-god,True,NA,Rotten Tomatoes,91%
