Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response,totalSeasons,ratingSite,tomatoMeter
Assassins,1995,R,1995-10-06,132 min,"Action, Crime, Thriller",Richard Donner,"Lilly Wachowski (story), Lana Wachowski (story), Lilly Wachowski (screenplay), Lana Wachowski (screenplay), Brian Helgeland (screenplay)","Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"English, Dutch, Spanish","France, USA",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,N/A,6.3,71780,tt0112401,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/assassins/,1997-09-30,N/A,Warner Home Video,N/A,True,NA,Rotten Tomatoes,15%
Hannibal Rising,2007,R,2007-02-09,121 min,"Adventure, Crime, Drama, Thriller, War",Peter Webber,"Thomas Harris (screenplay), Thomas Harris (novel)","Aaran Thomas, Gaspard Ulliel, Li Gong, Helena-Lia Tachovská","After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.","English, German, Russian","UK, Czech Republic, France, Italy, USA",2 nominations.,https://m.media-amazon.com/images/M/MV5BMTIzMTA0NTM4NF5BMl5BanBnXkFtZTcwNjY3ODM0MQ@@._V1_SX300.jpg,35,6.2,96515,tt0367959,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/hannibal_rising/,2007-05-29,"$27,503,677",MGM,http://www.weinsteinco.com/hannibal/,True,NA,Rotten Tomatoes,15%
The Story of Us,1999,R,1999-10-15,95 min,"Comedy, Drama, Romance",Rob Reiner,"Alan Zweibel, Jessie Nelson","Bruce Willis, Michelle Pfeiffer, Colleen Rennison, Jake Sandvig",Ben and Katie Jordan are a married couple who go through hard times in fifteen years of marriage.,"English, Italian",USA,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BYzAxZTI5NDItNzRkOS00NjczLTkzNjctMTU1NjdkYjI5YjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,37,5.9,20069,tt0160916,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/story_of_us/,2000-02-15,N/A,Universal Pictures,http://www.universalpictures.com/storyofus,True,NA,Rotten Tomatoes,28%
The Host,2013,PG-13,2013-03-29,125 min,"Action, Adventure, Drama, Romance, Sci-Fi, Thriller",Andrew Niccol,"Andrew Niccol (screenplay), Stephenie Meyer (novel)","Rachel Roberts, Shyaam Karra, Brent Wendell Williams, Jhil McEntyre","When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie will risk everything to protect the people she cares most about, proving that love can conquer all in a dangerous new world.",English,"USA, Switzerland",1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjMwNDg1MTAzNV5BMl5BanBnXkFtZTcwNTk5ODI3OA@@._V1_SX300.jpg,35,5.9,104405,tt1517260,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the_host_2013/,2013-07-09,"$26,609,448",Open Road Films,http://www.facebook.com/thehostmovie,True,NA,Rotten Tomatoes,9%
Basic,2003,R,2003-03-28,98 min,"Action, Crime, Drama, Mystery, Thriller",John McTiernan,James Vanderbilt,"John Travolta, Connie Nielsen, Samuel L. Jackson, Tim Daly",A D.E.A. Agent investigates the disappearance of a legendary Army Ranger Drill Sergeant and several of his cadets during a training exercise gone severely awry.,English,"Germany, USA",3 nominations.,https://m.media-amazon.com/images/M/MV5BOGFjMTZmMWYtOGRlNS00YWU5LWI4MjMtY2QzZDk4YzY4OWRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,34,6.5,55390,tt0264395,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/basic/,2003-07-08,"$26,536,120",Sony Pictures Entertainment,http://www.sonypictures.com/movies/basic/,True,NA,Rotten Tomatoes,21%
Blood Work,2002,R,2002-08-09,110 min,"Action, Crime, Drama, Mystery, Thriller",Clint Eastwood,"Michael Connelly (novel), Brian Helgeland (screenplay)","Clint Eastwood, Jeff Daniels, Anjelica Huston, Wanda De Jesus","Still recovering from a heart transplant, a retired FBI profiler returns to service when his own blood analysis offers clues to the identity of a serial killer.","English, Spanish",USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTIxMDMzMDk1NV5BMl5BanBnXkFtZTYwNzgxNDY3._V1_SX300.jpg,64,6.4,38934,tt0309377,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/blood_work/,2002-12-27,"$26,200,000",Warner Bros. Pictures,http://bloodworkmovie.warnerbros.com/home.html,True,NA,Rotten Tomatoes,53%
The International,2009,R,2009-02-13,118 min,"Action, Crime, Drama, Mystery, Thriller",Tom Tykwer,Eric Warren Singer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl, Ulrich Thomsen",An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.,"English, Italian, French, Danish","USA, Germany, UK, France",1 nomination.,https://m.media-amazon.com/images/M/MV5BMjE3Njg5NzY2OV5BMl5BanBnXkFtZTcwMDMxNjEwMg@@._V1_SX300.jpg,52,6.5,86039,tt0963178,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/international/,2009-06-09,"$25,450,527",Sony Pictures/Columbia,http://www.everybodypays.com/,True,NA,Rotten Tomatoes,59%
Escape from L.A.,1996,R,1996-08-09,101 min,"Action, Adventure, Sci-Fi, Thriller",John Carpenter,"John Carpenter (characters), Nick Castle (characters), John Carpenter, Debra Hill, Kurt Russell","Kurt Russell, Steve Buscemi, Peter Fonda, Cliff Robertson","Snake Plissken is once again called in by the United States government to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are deported.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BOWUzNTRmNTQtNWMwZS00MTg4LThhMDUtYmQ5OGQ5MmNmYzNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,54,5.7,62688,tt0116225,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/escape_from_la/,1998-12-15,N/A,Paramount Pictures,N/A,True,NA,Rotten Tomatoes,52%
The Iron Giant,1999,PG,1999-08-06,86 min,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",Brad Bird,"Tim McCanlies (screenplay by), Brad Bird (screen story by), Ted Hughes (based on the book ""The Iron Man"" by)","Jennifer Aniston, Harry Connick Jr., Vin Diesel, James Gammon",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,English,USA,20 wins & 18 nominations.,https://m.media-amazon.com/images/M/MV5BMjIxNDU2Njk0OV5BMl5BanBnXkFtZTgwODc3Njc3NjE@._V1_SX300.jpg,85,8,154251,tt0129167,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/iron_giant/,1999-11-23,N/A,Warner Bros. Pictures,http://www.irongiant.com,True,NA,Rotten Tomatoes,96%
The Life Aquatic with Steve Zissou,2004,R,2004-12-25,119 min,"Action, Adventure, Comedy, Drama, Romance",Wes Anderson,"Wes Anderson, Noah Baumbach","Bill Murray, Owen Wilson, Cate Blanchett, Anjelica Huston","With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.","English, Icelandic, Filipino, Portuguese, French, Tagalog, German, Italian",USA,3 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMTYzODYzNzg2MF5BMl5BanBnXkFtZTcwMTkzOTQzMw@@._V1_SX300.jpg,62,7.3,162853,tt0362270,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/yves_st_laurent_his_life_and_times_2004/,1998-01-01,N/A,Empire Pictures,http://www.empirepicturesusa.com/ep/show_movie.asp?title=10021,True,NA,Rotten Tomatoes,73%
